s0101,s0103,s0303,s0306,s0309,s0407,s0501,s0504,s0601,s0804,s0805,s1303,s1402,s1503,s1505,s1508,s1606,s0104,s0508,s0605,s0606,s0705,s0709,s0809,s0904,s1101,s1108,s1109,s1301,s1404,s1405,s1701,s1706,s1803
1.000292896,1.000519014,1.000418612,1.000252748,1.000353285,1.00013246,0.99956835,0.999645558,1.000258017,0.999237118,1.000260874,1.000281876,0.99961778,1.000163849,1.001037981,1.002045467,0.99995678,1.000109293,1.001227918,1.001945739,0.999643905,0.999690342,1.000216198,0.999444228,1.000089087,1.000628376,0.999782661,1.000488767,0.999756525,1.000409693,1.000497913,0.999658859,0.999291912,0.999749319
0.998966248,1.001806683,0.998234292,1.001535123,1.001434748,0.997776436,0.998046937,1.000940436,1.001733324,0.997612342,0.998796363,0.998750051,1.000872005,0.9983585,1.002557007,1.003715543,0.998437089,0.999419563,0.998915613,1.003167624,0.998448159,1.000856842,0.999327906,0.998244415,0.998488945,1.003254697,0.998560433,0.997926696,1.000996918,1.00159361,1.002865955,0.998423186,1.000711361,0.99720866
0.998966248,1.001806683,0.997142132,1.002817499,1.001434748,0.997776436,0.998046937,1.000940436,1.003208631,0.994362791,0.997331852,0.998750051,1.000872005,0.9983585,1.002557007,1.003715543,0.998437089,0.998729832,0.996603308,1.003167624,0.997252412,1.000856842,0.999327906,0.998244415,0.998488945,1.003254697,0.997338204,0.997926696,1.000996918,1.00159361,1.002865955,0.998423186,1.000711361,0.99593833
0.998966248,1.003094352,0.996049972,1.002817499,1.001434748,0.997776436,0.996525524,1.000940436,1.003208631,0.994362791,0.994402831,0.998750051,1.000872005,0.9983585,1.002557007,1.005385619,0.998437089,0.998729832,0.994291004,1.003167624,0.997252412,1.000856842,0.999327906,0.997044602,0.998488945,1.003254697,0.997338204,0.997926696,1.000996918,1.002777527,1.005233997,0.998423186,1.003550258,0.99593833
0.998966248,1.003094352,0.994957811,1.004099874,1.001434748,0.996598423,0.995004111,1.002235313,1.004683938,0.991113239,0.994402831,0.998750051,1.000872005,0.9947478,1.002557007,1.005385619,0.996917398,0.998040102,0.990822547,1.004389509,0.997252412,1.002023342,0.999327906,0.997044602,0.998488945,1.003254697,0.997338204,0.99664566,1.000996918,1.002777527,1.005233997,0.997187514,1.006389156,0.994668001
0.9976396,1.003094352,0.993865651,1.004099874,1.001434748,0.996598423,0.995004111,1.002235313,1.009109858,0.989488463,0.994402831,0.997218226,1.002126231,0.9947478,1.002557007,1.005385619,0.996917398,0.997350371,0.988510242,1.005611394,0.996056666,1.002023342,0.997551324,0.995844789,0.996888802,1.007194179,0.996115976,0.99664566,1.000996918,1.002777527,1.008786061,0.997187514,1.007808605,0.992127342
0.996312951,1.004382022,0.992773491,1.005382249,1.001434748,0.995420411,0.995004111,1.003530191,1.009109858,0.987863688,0.994402831,0.997218226,1.002126231,0.9947478,1.002557007,1.005385619,0.996917398,0.997350371,0.985041785,1.006833279,0.996056666,1.002023342,0.997551324,0.995844789,0.996888802,1.007194179,0.996115976,0.99664566,1.000996918,1.002777527,1.009970082,0.995951842,1.010647502,0.992127342
0.994986303,1.005669691,0.991681331,1.005382249,1.002516211,0.995420411,0.995004111,1.003530191,1.010585165,0.986238912,0.994402831,0.997218226,1.002126231,0.9947478,1.004076033,1.007055695,0.996917398,0.997350371,0.980417176,1.008055164,0.99486092,1.004356341,0.997551324,0.994644976,0.996888802,1.008507339,0.996115976,0.99664566,1.000996918,1.003961444,1.011154103,0.995951842,1.014905848,0.992127342
0.994986303,1.00695736,0.991681331,1.005382249,1.002516211,0.995420411,0.993482698,1.003530191,1.010585165,0.98298936,0.994402831,0.997218226,1.002126231,0.99294245,1.002557007,1.007055695,0.995397707,0.997350371,0.976948719,1.009277049,0.99486092,1.004356341,0.995774741,0.993445163,0.996888802,1.0098205,0.996115976,0.99664566,1.000996918,1.00514536,1.011154103,0.995951842,1.017744746,0.990857012
0.994986303,1.00695736,0.990589171,1.007947,1.001434748,0.994242399,0.993482698,1.003530191,1.012060472,0.981364584,0.994402831,0.997218226,1.002126231,0.99294245,1.004076033,1.008725771,0.993878016,0.997350371,0.974636414,1.011720819,0.99486092,1.004356341,0.994886449,0.99224535,0.996888802,1.0098205,0.996115976,0.99664566,1.000996918,1.00514536,1.012338125,0.995951842,1.022003092,0.990857012
